,date,profit_rate
168,2020-03-06,9.508507353134199
169,2020-03-09,9.508507353134199
170,2020-03-10,9.508507353134199
171,2020-03-11,9.508507353134199
172,2020-03-12,9.508507353134199
173,2020-03-13,9.508507353134199
174,2020-03-16,9.508507353134199
175,2020-03-17,9.508507353134199
176,2020-03-18,9.508507353134199
177,2020-03-19,9.508507353134199
178,2020-03-20,9.508507353134199
179,2020-03-23,9.508507353134199
180,2020-03-24,9.508507353134199
181,2020-03-25,9.508507353134199
182,2020-03-26,9.508507353134199
183,2020-03-27,9.508507353134199
184,2020-03-30,9.508507353134199
185,2020-03-31,9.508507353134199
186,2020-04-01,9.50123297338417
187,2020-04-06,9.702478307357882
188,2020-04-07,9.257480436845986
189,2020-04-08,8.938242510964447
190,2020-04-09,10.216890195174987
191,2020-04-10,11.52249100070129
